read,READ
N,IDENTIFIER
;,SEMICOLON
rem,IDENTIFIER
:=,ASSIGN
N,IDENTIFIER
;,SEMICOLON
repeat,REPEAT
rem,IDENTIFIER
:=,ASSIGN
rem,IDENTIFIER
-,MINUS
2,NUMBER
;,SEMICOLON
i,IDENTIFIER
:=,ASSIGN
i,IDENTIFIER
+,PLUS
1,NUMBER
until,UNTIL
rem,IDENTIFIER
<,LESSTHAN
2,NUMBER
;,SEMICOLON
if,IF
rem,IDENTIFIER
=,EQUAL
1,NUMBER
then,THEN
isEven,IDENTIFIER
:=,ASSIGN
0,NUMBER
end,END
;,SEMICOLON
if,IF
rem,IDENTIFIER
=,EQUAL
0,NUMBER
then,THEN
isEven,IDENTIFIER
:=,ASSIGN
1,NUMBER
end,END
;,SEMICOLON
write,WRITE
isEven,IDENTIFIER
