read,READ
N,IDENTIFIER
;,SEMICOLON
if,IF
0,NUMBER
<,LESSTHAN
N,IDENTIFIER
then,THEN
sum,IDENTIFIER
:=,ASSIGN
0,NUMBER
;,SEMICOLON
i,IDENTIFIER
:=,ASSIGN
0,NUMBER
;,SEMICOLON
sum,IDENTIFIER
:=,ASSIGN
0,NUMBER
;,SEMICOLON
i,IDENTIFIER
:=,ASSIGN
0,NUMBER
;,SEMICOLON
repeat,REPEAT
sum,IDENTIFIER
:=,ASSIGN
sum,IDENTIFIER
+,PLUS
i,IDENTIFIER
;,SEMICOLON
i,IDENTIFIER
:=,ASSIGN
i,IDENTIFIER
+,PLUS
1,NUMBER
until,UNTIL
i,IDENTIFIER
=,EQUAL
N,IDENTIFIER
+,PLUS
1,NUMBER
;,SEMICOLON
write,WRITE
sum,IDENTIFIER
end,END
